timestamp,rainfall_mm,humidity_pct,water_level_m,discharge_m3s,day_of_year,month,year,day_sin,day_cos,is_monsoon,water_level_change,water_level_change_3d,rainfall_3d_sum,rainfall_7d_sum,discharge_change
2020-01-01,-0.22506240785666784,-0.11168902545885075,-0.8061136561502805,-0.34667800396903575,1,1,2020,0.017213356155834685,0.9998518392091162,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-02,-0.22506240785666784,0.3174584925672175,-0.8061136561502805,-0.34667800396903575,2,1,2020,0.03442161162274574,0.9994074007397048,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-03,-0.22506240785666784,-0.8194059850106125,-0.8061136561502805,-0.34667800396903575,3,1,2020,0.051619667223253764,0.998666816288476,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-04,-0.22506240785666784,-1.5798252713375045,-0.8061136561502805,-0.34667800396903575,4,1,2020,0.06880242680231986,0.9976303053065857,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-05,-0.22506240785666784,-0.8946950232607999,-0.8061136561502805,-0.34667800396903575,5,1,2020,0.08596479873744647,0.9962981749346078,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-06,-0.22506240785666784,-0.5596588030474658,-0.8061136561502805,-0.34667800396903575,6,1,2020,0.10310169744743485,0.9946708199115211,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-07,-0.22506240785666784,0.09159137781665537,-0.8061136561502805,-0.34667800396903575,7,1,2020,0.1202080448993527,0.9927487224577402,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-08,-0.22506240785666784,0.15182260841680506,-0.8061136561502805,-0.34667800396903575,8,1,2020,0.13727877211326478,0.9905324521322229,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-09,-0.22506240785666784,-0.7290591391103874,-0.8061136561502805,-0.34667800396903575,9,1,2020,0.15430882066428117,0.9880226656636976,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
2020-01-10,-0.22506240785666784,-1.6739365691502386,-0.8061136561502805,-0.34667800396903575,10,1,2020,0.1712931441814776,0.9852201067560606,0,-0.005901897172146241,-0.004827317899601517,-0.29436347758138187,-0.36462380102790054,0.0006610285813852821
