timestamp,rainfall_mm,humidity_pct,water_level_m,discharge_m3s,day_of_year,month,year,day_sin,day_cos,is_monsoon,water_level_change,water_level_change_3d,rainfall_3d_sum,rainfall_7d_sum,discharge_change
2020-01-01,-0.1490393663464184,-1.3007662849596977,-0.2617864470899148,0.17652538573302026,1,1,2020,0.017213356155834685,0.9998518392091162,0,0.4132115148081173,0.21246623285749075,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-02,-0.1490393663464184,-2.2012103939018246,-0.14917746309427563,0.17652538573302026,2,1,2020,0.03442161162274574,0.9994074007397048,0,0.4132115148081173,0.21246623285749075,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-03,-0.1490393663464184,-2.2012103939018246,-0.20382594062157083,0.17652538573302026,3,1,2020,0.051619667223253764,0.998666816288476,0,-0.18065713843738257,0.21246623285749075,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-04,-0.1490393663464184,-2.2403601377688735,-0.15083347756479823,0.17652538573302026,4,1,2020,0.06880242680231986,0.9976303053065857,0,0.201535559195864,0.21246623285749075,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-05,-0.1490393663464184,-1.9663119306995307,-0.13096130391850938,0.17652538573302026,5,1,2020,0.08596479873744647,0.9962981749346078,0,0.08393780607793715,0.05300699462207802,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-06,-0.1490393663464184,-1.8097129552313347,-0.14917746309427563,0.17652538573302026,6,1,2020,0.10310169744743485,0.9946708199115211,0,-0.051299610007674315,0.11565169535741614,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-07,-0.1490393663464184,0.6175711645257029,-0.22369811426785965,0.17652538573302026,7,1,2020,0.1202080448993527,0.9927487224577402,0,-0.2512157903081336,-0.10360475721627636,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-08,-0.1490393663464184,0.226073725855213,-0.16904963674056447,0.17652538573302026,8,1,2020,0.13727877211326478,0.9905324521322229,0,0.2074154468517547,-0.0438075428779966,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-09,-0.1490393663464184,0.30437321358931096,-0.1905778248573759,0.17652538573302026,9,1,2020,0.15430882066428117,0.9880226656636976,0,-0.06305938531945572,-0.04950251567211327,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
2020-01-10,-0.1490393663464184,-0.24372320054937494,-0.1947178610336877,0.17652538573302026,10,1,2020,0.1712931441814776,0.9852201067560606,0,-0.0013205649325594862,0.07151565620297241,-0.20375433095521703,-0.2270403178295496,-0.8564664872467442
