timestamp,rainfall_mm,humidity_pct,water_level_m,discharge_m3s,day_of_year,month,year,day_sin,day_cos,is_monsoon,water_level_change,water_level_change_3d,rainfall_3d_sum,rainfall_7d_sum,discharge_change
2020-01-01,0.0,0.4944750858129064,-0.22548989706400474,-0.26377489257792996,1,1,2020,0.017213356155834685,0.9998518392091162,0,0.028363609105180373,0.29364020493289145,0.0,0.0,0.024984932342221003
2020-01-02,0.0,0.45627365422943794,-0.2181115692196999,-0.2615631915739836,2,1,2020,0.03442161162274574,0.9994074007397048,0,0.028363609105180373,0.29364020493289145,0.0,0.0,0.024984932342221003
2020-01-03,0.0,0.9910936963979962,-0.10374748763297505,-0.22728182601281516,3,1,2020,0.051619667223253764,0.998666816288476,0,0.48898862097330903,0.29364020493289145,0.0,0.0,0.10405555660904578
2020-01-04,0.0,0.5326765173963749,-0.10374748763297505,-0.22728182601281516,4,1,2020,0.06880242680231986,0.9976303053065857,0,-0.003403633092621623,0.29364020493289145,0.0,0.0,0.019531785841060738
2020-01-05,0.0,0.45627365422943794,-0.16646327430956606,-0.23133661118671683,5,1,2020,0.08596479873744647,0.9962981749346078,0,-0.27342519177393826,0.10658931604742986,0.0,0.0,0.009534350588933408
2020-01-06,0.0,0.4944750858129064,-0.2144224052975475,-0.2604573410720104,6,1,2020,0.10310169744743485,0.9946708199115211,0,-0.20989070737833462,-0.3265811634767973,0.0,0.0,-0.05226797642421672
2020-01-07,0.0,0.20796434893689308,-0.255003208441224,-0.2726216965937154,7,1,2020,0.1202080448993527,0.9927487224577402,0,-0.17812346518053224,-0.43487378335785387,0.0,0.0,-0.010460519915321122
2020-01-08,0.0,0.8000865384806539,-0.3103406672735103,-0.28865652887232635,8,1,2020,0.13727877211326478,0.9905324521322229,0,-0.24165794957613662,-0.4151842161067528,0.0,0.0,-0.020003526292351526
2020-01-09,0.0,1.3349065806492122,-0.3472323064950344,-0.2978719497221028,9,1,2020,0.15430882066428117,0.9880226656636976,0,-0.16223984408163125,-0.38564986523010075,0.0,0.0,-0.003189657913773926
2020-01-10,0.0,0.8000865384806539,-0.38412394571655856,-0.3070873705718793,10,1,2020,0.1712931441814776,0.9852201067560606,0,-0.1622398440816316,-0.37580508160455034,0.0,0.0,-0.003189657913773926
