timestamp,rainfall_mm,humidity_pct,water_level_m,discharge_m3s,day_of_year,month,year,day_sin,day_cos,is_monsoon,water_level_change,water_level_change_3d,rainfall_3d_sum,rainfall_7d_sum,discharge_change
2020-01-01,-0.28117458167305487,0.848504807382487,-0.5436053782838228,-0.28623425888203613,1,1,2020,0.017213356155834685,0.9998518392091162,0,0.011202424781139744,0.009402244695847927,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-02,-0.28117458167305487,0.38191746369601104,-0.5493607458392862,-0.28623425888203613,2,1,2020,0.03442161162274574,0.9994074007397048,0,0.011202424781139744,0.009402244695847927,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-03,-0.28117458167305487,1.2373275937878836,-0.6472019942821252,-0.28623425888203613,3,1,2020,0.051619667223253764,0.998666816288476,0,-0.0639800401063186,0.009402244695847927,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-04,-0.28117458167305487,-0.006905322709385592,-0.5251882021063492,-0.28623425888203613,4,1,2020,0.06880242680231986,0.9976303053065857,0,0.11551809481249262,0.009402244695847927,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-05,-0.28117458167305487,-0.3179635518337029,-0.534396790195086,-0.28623425888203613,5,1,2020,0.08596479873744647,0.9962981749346078,0,0.008383082347862534,0.006878584077126831,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-06,-0.28117458167305487,-0.7845508955201789,-0.704755669836736,-0.28623425888203613,6,1,2020,0.10310169744743485,0.9946708199115211,0,-0.12318623120519406,-0.04611828891606456,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-07,-0.28117458167305487,0.38191746369601104,-0.704755669836736,-0.28623425888203613,7,1,2020,0.1202080448993527,0.9927487224577402,0,0.01590132883660777,-0.1352876307776239,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-08,-0.28117458167305487,2.1705022811608354,-0.704755669836736,-0.28623425888203613,8,1,2020,0.13727877211326478,0.9905324521322229,0,0.01590132883660777,-0.12855786912769562,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-09,-0.28117458167305487,1.548385822912201,-0.704755669836736,-0.28623425888203613,9,1,2020,0.15430882066428117,0.9880226656636976,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-10,-0.28117458167305487,0.4596820209770904,-0.5205839080619771,-0.28623425888203613,10,1,2020,0.1712931441814776,0.9852201067560606,0,0.16626625861153044,0.1305379543945734,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-11,-0.28117458167305487,0.9262693646635664,-0.527490349128534,-0.28623425888203613,11,1,2020,0.1882267098432442,0.9821256058680006,0,0.010262643970045338,0.12549063315712405,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-12,-0.28117458167305487,1.3928567083500423,-0.704755669836736,-0.28623425888203613,12,1,2020,0.2051044998686192,0.9787400799669153,0,-0.12882491607175248,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-13,-0.28117458167305487,1.0040339219446457,-0.704755669836736,-0.28623425888203613,13,1,2020,0.2219215130041655,0.9750645322571948,0,0.01590132883660777,-0.13865251160259073,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-14,-0.28117458167305487,0.38191746369601104,-0.704755669836736,-0.28623425888203613,14,1,2020,0.2386727660059501,0.9711000518829505,0,0.01590132883660777,-0.13360519036514137,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-15,-0.28117458167305487,0.5374465782581697,-0.704755669836736,-0.28623425888203613,15,1,2020,0.255353295116187,0.9668478136052775,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-16,-0.28117458167305487,0.7707402501014077,-0.704755669836736,-0.28623425888203613,16,1,2020,0.2719581575341055,0.9623090774541486,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-17,-0.28117458167305487,0.4596820209770904,-0.704755669836736,-0.28623425888203613,17,1,2020,0.288482432880609,0.9574851883550393,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-18,-0.28117458167305487,-1.7177255828931308,-0.704755669836736,-0.28623425888203613,18,1,2020,0.30492122465628907,0.9523775757303974,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
2020-01-19,-0.28117458167305487,-0.24019899455262358,-0.704755669836736,-0.28623425888203613,19,1,2020,0.3212696616923644,0.9469877530760753,0,0.01590132883660777,-0.004057278604008669,-0.42106061048537113,-0.5108954501454493,0.01397473451408752
