,mse,mae,rmse,r2
adhala,0.33800947666168213,0.2784454822540283,0.5813858242696344,0.7614924311637878
girija,0.16397933661937714,0.054256923496723175,0.404943621531908,-0.001056075096130371
indravati,0.1308542639017105,0.21542933583259583,0.3617378386369202,0.8729930520057678
manjira,1.1788431406021118,0.21183739602565765,1.0857454308456065,0.017961740493774414
valamuru,0.3027544319629669,0.23535914719104767,0.5502312531681265,0.735869824886322
sabari,0.21610207855701447,0.2344849854707718,0.4648678076152558,0.8185569047927856
