epoch,train_loss,val_loss,train_mae,val_mae
1,0.21466113204757373,0.16151476744562387,0.48003675838311516,0.36529045924544334
2,0.1573021836578846,0.1548407906666398,0.37934558987617495,0.35106950998306274
3,0.14197326749563216,0.13054418284446,0.3495147734880447,0.2745925523340702
4,0.13509220331907273,0.13614218961447477,0.330866277217865,0.30923584289848804
5,0.13271555602550505,0.130504353903234,0.32019200871388115,0.2857030462473631
6,0.12933540157973766,0.13229553680866957,0.31696041524410246,0.3045443966984749
7,0.12662502191960812,0.12571447156369686,0.3081210156281789,0.2752170767635107
8,0.12581750104824702,0.12266960460692644,0.3060572678844134,0.2598385289311409
9,0.12537792697548866,0.13151920214295387,0.3021500175197919,0.30467638932168484
10,0.12320452171067396,0.12503333762288094,0.3039114822944005,0.2741981912404299
11,0.12586010284721852,0.12357744853943586,0.3047650640209516,0.27021688409149647
12,0.12022164513667424,0.12420825846493244,0.29501898189385733,0.2793453820049763
13,0.11799986958503723,0.12649555411189795,0.29266890734434126,0.2973718848079443
14,0.11900916292021672,0.11787554435431957,0.29125185012817384,0.268730565905571
15,0.11315221041440963,0.11472255177795887,0.28199701607227323,0.25564403645694256
16,0.11091717332601547,0.11665816605091095,0.27476271043221157,0.27262014523148537
17,0.10834141448140144,0.12126640137284994,0.27204149415095646,0.290014311671257
18,0.10471915366748968,0.11328490450978279,0.26628948698441185,0.27141422033309937
19,0.10422887181242307,0.1175259230658412,0.2668294022480647,0.2805240396410227
20,0.1020359126230081,0.10695159994065762,0.26344151397546134,0.2459095511585474
21,0.10229682922363281,0.10508710145950317,0.25938930362463,0.2411833330988884
22,0.09882432321707407,0.10630160570144653,0.2539196064074834,0.250929843634367
23,0.09988158562531074,0.10110407881438732,0.25820660491784414,0.2277542855590582
24,0.09558987381557624,0.1011841669678688,0.2488664542635282,0.2343231551349163
25,0.09713271682461103,0.1141197569668293,0.2520779609680176,0.28009520657360554
26,0.09380163302024205,0.10462881810963154,0.24705421974261602,0.25016578286886215
27,0.0949182058374087,0.12909088376909494,0.2485501527786255,0.3220512308180332
28,0.0950537127132217,0.0999849159270525,0.24537246823310851,0.22959165647625923
29,0.0971454031765461,0.12977143935859203,0.2498086005449295,0.3260963559150696
30,0.09490919907887777,0.10016853548586369,0.24662527889013292,0.2311877030879259
31,0.09928124360740184,0.10662620514631271,0.25500317513942716,0.24315385334193707
32,0.0958480017259717,0.0990607813000679,0.2520280112822851,0.22844712249934673
33,0.09632609505206347,0.10112380422651768,0.2503413890798887,0.24045457690954208
34,0.09769104806085428,0.11109062936156988,0.25144860744476316,0.2740829139947891
35,0.09085898958146572,0.09385318215936422,0.2406849205493927,0.22250765934586525
36,0.08845894125600656,0.09302418632432818,0.2386858935157458,0.22377280332148075
37,0.08989639381567636,0.09092055866494775,0.2377013698220253,0.21469350717961788
38,0.0841052599872152,0.09172839019447565,0.22431453863779705,0.2116681970655918
39,0.09048991464078426,0.09090259112417698,0.23599523603916167,0.2147743832319975
40,0.08803775099416573,0.10053436364978552,0.23249660730361937,0.24637751653790474
41,0.08708415267368158,0.09406629670411348,0.23196842322746913,0.23197400569915771
42,0.08406959207107624,0.08711227308958769,0.225979516406854,0.20544861070811749
43,0.0829216127594312,0.08823800832033157,0.22050100266933442,0.21348531544208527
44,0.08384436368942261,0.09160138294100761,0.2248223602771759,0.22493889182806015
45,0.08007881244023642,0.08906541671603918,0.22194896986087162,0.21657968871295452
46,0.0742575575908025,0.09519068617373705,0.21164428691069284,0.22838398814201355
47,0.07450037480642398,0.08622120274230838,0.20687469790379207,0.205372154712677
48,0.07802930337687333,0.08937010960653424,0.21308730021119118,0.21472068689763546
49,0.07845082978407542,0.09001969825476408,0.21454295565684636,0.23148087412118912
50,0.07486494729916254,0.1039752559736371,0.20817986478408176,0.2675677165389061
51,0.07690335648755232,0.08699171990156174,0.2101929396390915,0.22052433155477047
52,0.06965578912446896,0.09622266609221697,0.1998443139096101,0.23031311109662056
53,0.06975943986326456,0.09691882506012917,0.19826166927814484,0.2242324836552143
54,0.07433545365929603,0.09021884948015213,0.20355553353826206,0.22497252374887466
55,0.07365013267844915,0.08219122374430299,0.20286888331174852,0.20522205904126167
56,0.07041815140595038,0.08272075653076172,0.1964705968896548,0.20718142949044704
57,0.07350545066098373,0.08339076535776258,0.20240218664209048,0.2092298772186041
58,0.07087593507021665,0.08004995994269848,0.1974404161175092,0.19093490578234196
59,0.06615947770575682,0.07878569234162569,0.19057547996441523,0.18819065392017365
60,0.06924277562648058,0.07663737935945392,0.1955050307015578,0.18453031964600086
61,0.07263387143611907,0.09215288423001766,0.1994306780397892,0.23293368332087994
62,0.06765485632543762,0.07831599935889244,0.19514295558134714,0.19295948185026646
63,0.065992007839183,0.08117821393534541,0.19013477737704912,0.20149885304272175
64,0.06645121990392605,0.0867460728622973,0.19153893639643987,0.2135079801082611
65,0.06778900853047769,0.07678096694871783,0.19405642300844192,0.1891591865569353
66,0.06612173287818829,0.08530667936429381,0.18980811834335326,0.21004106104373932
67,0.06599362157285213,0.08253596723079681,0.19084228972593945,0.2043120227754116
68,0.06846268282582363,0.08007165184244514,0.19310815036296844,0.19632305391132832
69,0.06734325376649698,0.10260614659637213,0.19175218318899473,0.26367253437638283
70,0.06580148115754128,0.08066124422475696,0.19119621713956197,0.19818822294473648
71,0.06963831757505735,0.0781370815820992,0.1985590025782585,0.19540874101221561
72,0.07043912149965763,0.08140243403613567,0.2006135766704877,0.2047103065997362
73,0.06950709794958433,0.08436362817883492,0.19719372391700746,0.19694623537361622
74,0.0700153791035215,0.07961836038157344,0.19739534184336663,0.1937283929437399
75,0.06703973064819972,0.08011480933055282,0.19530994743108748,0.20328963361680508
